original,original_year,original_url,remake,remake_year,remake_url
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Brewster's Millions,1921,/wiki/Brewster%27s_Millions_(1921_film)
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Miss Brewster's Millions,1926,/wiki/Miss_Brewster%27s_Millions
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Brewster's Millions,1935,/wiki/Brewster%27s_Millions_(1935_film)
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Brewster's Millions,1945,/wiki/Brewster%27s_Millions_(1945_film)
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Vaddante Dabbu,1954,/wiki/Vaddante_Dabbu
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Three on a Spree,1961,/wiki/Three_on_a_Spree
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Babai Abbai,1985,/wiki/Babai_Abbai
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Brewster's Millions,1985,/wiki/Brewster%27s_Millions_(1985_film)
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Maalamaal,1988,/wiki/Maalamaal
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Arunachalam,1997,/wiki/Arunachalam_(film)
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),To Ryca!,2016,
Brewster's Millions,1914,/wiki/Brewster%27s_Millions_(1914_film),Hello Mr. Billionaire,2018,/wiki/Hello_Mr._Billionaire
Brian's Song,1971,/wiki/Brian%27s_Song,Brian's Song,2001,/wiki/Brian%27s_Song_(2001_film)
Bride Wars,2009,/wiki/Bride_Wars,Bride Wars,2015,/wiki/Bride_Wars_(2015_film)
Brighton Rock,1948,/wiki/Brighton_Rock_(1948_film),Brighton Rock,2010,/wiki/Brighton_Rock_(2010_film)
Broadway Bill,1934,/wiki/Broadway_Bill,Riding High,1950,/wiki/Riding_High_(1950_film)
Brother Rat,1938,/wiki/Brother_Rat,About Face,1952,/wiki/About_Face_(1952_film)
Brødre,2004,/wiki/Brothers_(2004_film),Brothers,2009,/wiki/Brothers_(2009_film)
The Buccaneer,1938,/wiki/The_Buccaneer_(1938_film),The Buccaneer,1958,/wiki/The_Buccaneer_(1958_film)
A Bucket of Blood,1959,/wiki/A_Bucket_of_Blood,A Bucket of Blood,1995,/wiki/A_Bucket_of_Blood_(1995_film)
The Burmese Harp,1956,/wiki/The_Burmese_Harp_(1956_film),The Burmese Harp,1985,/wiki/The_Burmese_Harp_(1985_film)
Cabin Fever,2002,/wiki/Cabin_Fever_(2002_film),Cabin Fever,2016,/wiki/Cabin_Fever_(2016_film)
The Cabinet of Dr. Caligari,1920,/wiki/The_Cabinet_of_Dr._Caligari,The Cabinet of Dr. Caligari,2005,/wiki/The_Cabinet_of_Dr._Caligari_(2005_film)
La Cage aux Folles,1978,/wiki/La_Cage_aux_Folles_(film),The Birdcage,1996,/wiki/The_Birdcage
Can’t Buy Me Love,1987,/wiki/Can%27t_Buy_Me_Love_(film),Love Don't Cost a Thing,2003,/wiki/Love_Don%27t_Cost_a_Thing_(film)
Cape Fear,1962,/wiki/Cape_Fear_(1962_film),Cape Fear,1991,/wiki/Cape_Fear_(1991_film)
The Captain's Table,1959,/wiki/The_Captain%27s_Table,The Captain,1971,/wiki/The_Captain_(1971_film)
Carnival of Souls,1962,/wiki/Carnival_of_Souls,Carnival of Souls,1998,/wiki/Carnival_of_Souls_(1998_film)
The Cat and the Canary,1927,/wiki/The_Cat_and_the_Canary_(1927_film),The Cat Creeps,1930,/wiki/The_Cat_Creeps_(1930_film)
The Cat and the Canary,1927,/wiki/The_Cat_and_the_Canary_(1927_film),The Cat and the Canary,1939,/wiki/The_Cat_and_the_Canary_(1939_film)
The Cat and the Canary,1927,/wiki/The_Cat_and_the_Canary_(1927_film),The Cat and the Canary,1979,/wiki/The_Cat_and_the_Canary_(1979_film)
Cat People,1942,/wiki/Cat_People_(1942_film),Cat People,1982,/wiki/Cat_People_(1982_film)
Cat-Women of the Moon,1953,/wiki/Cat-Women_of_the_Moon,Missile to the Moon,1958,/wiki/Missile_to_the_Moon
Cats,1998,/wiki/Cats_(1998_film),Cats,2019,/wiki/Cats_(2019_film)
The Champ,1931,/wiki/The_Champ_(1931_film),The Clown,1953,/wiki/The_Clown_(1953_film)
The Champ,1931,/wiki/The_Champ_(1931_film),The Champ,1979,/wiki/The_Champ_(1979_film)
Charade,1963,/wiki/Charade_(1963_film),The Truth About Charlie,2002,/wiki/The_Truth_About_Charlie
Charlotte's Web,1973,/wiki/Charlotte%27s_Web_(1973_film),Charlotte's Web,2006,/wiki/Charlotte%27s_Web_(2006_film)
Cheaper by the Dozen,1950,/wiki/Cheaper_by_the_Dozen_(1950_film),Cheaper by the Dozen,2003,/wiki/Cheaper_by_the_Dozen_(2003_film)
Cheaper by the Dozen,1950,/wiki/Cheaper_by_the_Dozen_(1950_film),Cheaper by the Dozen,2022,/wiki/Cheaper_by_the_Dozen_(2022_film)
Chef,2014,/wiki/Chef_(2014_film),Chef,2017,
Chicken Little,1943,/wiki/Chicken_Little_(1943_film),Chicken Little,2005,/wiki/Chicken_Little_(2005_film)
Child's Play,1988,/wiki/Child%27s_Play_(1988_film),Child's Play,2019,/wiki/Child%27s_Play_(2019_film)
Chinthamani Kolacase,2006,/wiki/Chinthamani_Kolacase,Ellam Avan Seyal,2008,/wiki/Ellam_Avan_Seyal
Chinthamani Kolacase,2006,/wiki/Chinthamani_Kolacase,Sri Mahalakshmi,2007,/wiki/Sri_Mahalakshmi
Christmas Eve,1947,/wiki/Christmas_Eve_(1947_film),Christmas Eve,1986,/wiki/Christmas_Eve_(1947_film)#1986_remake
Christmas in Connecticut,1945,/wiki/Christmas_in_Connecticut,Christmas in Connecticut,1992,/wiki/Christmas_in_Connecticut_(1992_film)
Cinderella,1950,/wiki/Cinderella_(1950_film),Cinderella,2015,/wiki/Cinderella_(2015_Disney_film)
Clash of the Titans,1981,/wiki/Clash_of_the_Titans_(1981_film),Clash of the Titans,2010,/wiki/Clash_of_the_Titans_(2010_film)
Classmates,2006,/wiki/Classmates_(2006_film),Classmates,2007,/wiki/Classmates_(2007_film)
Clearing the Range,1931,/wiki/Clearing_the_Range,The Dude Bandit,1933,/wiki/The_Dude_Bandit
Les Compères,1983,/wiki/Les_Comp%C3%A8res,Fathers' Day,1997,/wiki/Fathers%27_Day_(1997_film)
The Computer Wore Tennis Shoes,1969,/wiki/The_Computer_Wore_Tennis_Shoes,The Computer Wore Tennis Shoes,1995,/wiki/The_Computer_Wore_Tennis_Shoes_(1995_film)
Confession of Murder aka Naega salinbeomida,2012,/wiki/Confession_of_Murder_(2012_film),Memoirs of a Murderer aka 22-nenme no kokuhaku: Watashi ga satsujinhan desu,2017,/wiki/Memoirs_of_a_Murderer_(2017_film)
Le Convoyeur,2004,/wiki/Le_Convoyeur,Wrath of Man,2021,/wiki/Wrath_of_Man
Le Corbeau,1943,/wiki/Le_Corbeau,The 13th Letter,1951,/wiki/The_13th_Letter
Cousin Cousine,1975,/wiki/Cousin_Cousine,Cousins,1989,/wiki/Cousins_(1989_film)
The Crazies,1973,/wiki/The_Crazies_(1973_film),The Crazies,2010,/wiki/The_Crazies_(2010_film)
Criss Cross,1949,/wiki/Criss_Cross_(film),The Underneath,1995,/wiki/The_Underneath_(film)
Dehleez,1983,,Oonche Log,1985,/wiki/Oonche_Log_(1985_film)
D.O.A.,1950,/wiki/D.O.A._(1950_film),D.O.A.,1988,/wiki/D.O.A._(1988_film)
Dark Victory,1939,/wiki/Dark_Victory,Stolen Hours,1963,/wiki/Stolen_Hours
Dark Water,2002,/wiki/Dark_Water_(2002_film),Dark Water,2005,/wiki/Dark_Water_(2005_film)
Dawn of the Dead,1978,/wiki/Dawn_of_the_Dead_(1978_film),Dawn of the Dead,2004,/wiki/Dawn_of_the_Dead_(2004_film)
The Dawn Patrol,1930,/wiki/The_Dawn_Patrol_(1930_film),The Dawn Patrol,1938,/wiki/The_Dawn_Patrol_(1938_film)
Day of the Dead,1985,/wiki/Day_of_the_Dead_(1985_film),Day of the Dead,2008,/wiki/Day_of_the_Dead_(2008_film)
Day of the Dead,1985,/wiki/Day_of_the_Dead_(1985_film),Day of the Dead: Bloodline,2017,/wiki/Day_of_the_Dead:_Bloodline
The Day of the Jackal,1973,/wiki/The_Day_of_the_Jackal_(film),The Jackal,1997,/wiki/The_Jackal_(1997_film)
The Day the Earth Stood Still,1951,/wiki/The_Day_the_Earth_Stood_Still,The Day the Earth Stood Still,2008,/wiki/The_Day_the_Earth_Stood_Still_(2008_film)
Death at a Funeral,2007,/wiki/Death_at_a_Funeral_(2007_film),Death at a Funeral,2010,/wiki/Death_at_a_Funeral_(2010_film)
Death Game,1977,/wiki/Death_Game,Knock Knock,2015,/wiki/Knock_Knock_(2015_film)
The Death Kiss,1932,/wiki/The_Death_Kiss,That's Not the Way to Die,1946,/wiki/That%27s_Not_the_Way_to_Die
Death Race 2000,1975,/wiki/Death_Race_2000,Death Race,2008,/wiki/Death_Race_(2008_film)
Death Takes a Holiday,1934,/wiki/Death_Takes_a_Holiday,Death Takes a Holiday,1971,/wiki/Death_Takes_a_Holiday_(1971_film)
Death Takes a Holiday,1934,/wiki/Death_Takes_a_Holiday,Meet Joe Black,1998,/wiki/Meet_Joe_Black
Death Wish,1974,/wiki/Death_Wish_(1974_film),Death Wish,2018,/wiki/Death_Wish_(2018_film)
The Debt,2007,/wiki/The_Debt_(2007_film),The Debt,2010,/wiki/The_Debt_(2010_film)
The Defiant Ones,1958,/wiki/The_Defiant_Ones,The Defiant Ones,1986,/wiki/The_Defiant_Ones_(1986_film)
The Desperado,1954,/wiki/The_Desperado,"Cole Younger, Gunfighter",1958,"/wiki/Cole_Younger,_Gunfighter"
The Desperate Hours,1955,/wiki/The_Desperate_Hours_(1955_film),Desperate Hours,1990,/wiki/Desperate_Hours
Destry Rides Again,1939,/wiki/Destry_Rides_Again,Frenchie,1950,/wiki/Frenchie_(film)
Destry Rides Again,1939,/wiki/Destry_Rides_Again,Destry,1954,/wiki/Destry_(film)
Le Deuxième Souffle,1966,/wiki/Le_deuxi%C3%A8me_souffle_(1966_film),The Second Wind,2007,/wiki/The_Second_Wind
Les Diaboliques,1955,/wiki/Les_Diaboliques_(film),Diabolique,1996,/wiki/Diabolique_(1996_film)
Dial M for Murder,1954,/wiki/Dial_M_for_Murder,Dial M for Murder,1967,/wiki/Dial_M_for_Murder#Similar_films_and_remakes
Dial M for Murder,1954,/wiki/Dial_M_for_Murder,Dial M for Murder,1981,/wiki/Dial_M_for_Murder#Similar_films_and_remakes
Dial M for Murder,1954,/wiki/Dial_M_for_Murder,A Perfect Murder,1998,/wiki/A_Perfect_Murder
District 13,2004,/wiki/District_13,Brick Mansions,2014,/wiki/Brick_Mansions
Diversion,1980,/wiki/Diversion_(1980_film),Fatal Attraction,1987,/wiki/Fatal_Attraction
Don,1978,/wiki/Don_(1978_film),Yugandhar,1979,/wiki/Yugandhar
Don,1978,/wiki/Don_(1978_film),Billa,1980,/wiki/Billa_(1980_film)
Don,1978,/wiki/Don_(1978_film),Shobhraj,1986,/wiki/Shobhraj
Don,1978,/wiki/Don_(1978_film),Don,2006,/wiki/Don_(2006_Hindi_film)
Don,1978,/wiki/Don_(1978_film),Billa,2007,/wiki/Billa_(2007_film)
Dona Flor and Her Two Husbands,1976,/wiki/Dona_Flor_and_Her_Two_Husbands,Kiss Me Goodbye,1982,/wiki/Kiss_Me_Goodbye_(film)
Don't Look Up,1996,/wiki/Don%27t_Look_Up_(1996_film),Ghost Theater,2015,/wiki/Ghost_Theater
Doraemon: Nobita and the Birth of Japan,1989,/wiki/Doraemon:_Nobita_and_the_Birth_of_Japan,Doraemon: Nobita and the Birth of Japan 2016,2016,/wiki/Doraemon:_Nobita_and_the_Birth_of_Japan_2016
Doraemon: Nobita and the Haunts of Evil,1982,/wiki/Doraemon:_Nobita_and_the_Haunts_of_Evil,Doraemon: New Nobita's Great Demon—Peko and the Exploration Party of Five,2014,/wiki/Doraemon:_New_Nobita%27s_Great_Demon%E2%80%94Peko_and_the_Exploration_Party_of_Five
Doraemon: Nobita and the Steel Troops,1986,/wiki/Doraemon:_Nobita_and_the_Steel_Troops,Doraemon: Nobita and the New Steel Troops—Winged Angels,2011,/wiki/Doraemon:_Nobita_and_the_New_Steel_Troops%E2%80%94Winged_Angels
Doraemon: Nobita's Dinosaur,1980,/wiki/Doraemon:_Nobita%27s_Dinosaur,Doraemon: Nobita's Dinosaur 2006,2006,/wiki/Doraemon:_Nobita%27s_Dinosaur_2006
Doraemon: Nobita's Great Adventure into the Underworld,1984,/wiki/Doraemon:_Nobita%27s_Great_Adventure_into_the_Underworld,Doraemon: Nobita's New Great Adventure into the Underworld,2007,/wiki/Doraemon:_Nobita%27s_New_Great_Adventure_into_the_Underworld
Doraemon: Nobita's Little Star Wars,1985,/wiki/Doraemon:_Nobita%27s_Little_Star_Wars,Doraemon: Nobita's Little Star Wars 2021,2022,/wiki/Doraemon:_Nobita%27s_Little_Star_Wars_2021
"Doraemon: The Records of Nobita, Spaceblazer",1981,"/wiki/Doraemon:_The_Records_of_Nobita,_Spaceblazer",Doraemon: The Record of Nobita's Spaceblazer,2009,/wiki/Doraemon:_The_Record_of_Nobita%27s_Spaceblazer
Double Indemnity,1944,/wiki/Double_Indemnity,Double Indemnity,1973,/wiki/Double_Indemnity_(1973_film)
Dr. Jekyll and Mr. Hyde,1931,/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film),Dr. Jekyll and Mr. Hyde,1941,/wiki/Dr._Jekyll_and_Mr._Hyde_(1941_film)
Dr. Mabuse the Gambler,1922,/wiki/Dr._Mabuse_the_Gambler,Dr. M,1990,/wiki/Dr._M_(film)
Dumbo,1941,/wiki/Dumbo,Dumbo,2019,/wiki/Dumbo_(2019_film)
Dune,1984,/wiki/Dune_(1984_film),Dune,2021,/wiki/Dune_(2021_film)
Dune,1984,/wiki/Dune_(1984_film),Dune: Part Two,2024,/wiki/Dune:_Part_Two
Eat Drink Man Woman,1994,/wiki/Eat_Drink_Man_Woman,Tortilla Soup,2001,/wiki/Tortilla_Soup
L'emmerdeur,1973,/wiki/L%27emmerdeur,Buddy Buddy,1981,/wiki/Buddy_Buddy
Elf,2003,/wiki/Elf_(film),Elf: Buddy's Musical Christmas,2014,/wiki/Elf:_Buddy%27s_Musical_Christmas
Escape to Witch Mountain,1975,/wiki/Escape_to_Witch_Mountain_(1975_film),Escape to Witch Mountain,1995,/wiki/Escape_to_Witch_Mountain_(1995_film)
The Evil Dead,1981,/wiki/The_Evil_Dead,Evil Dead,2013,/wiki/Evil_Dead_(2013_film)
Das Experiment,2001,/wiki/Das_Experiment,The Experiment,2010,/wiki/The_Experiment_(2010_film)
The Eye,2002,/wiki/The_Eye_(2002_film),Naina,2005,/wiki/Naina_(2005_film)
The Eye,2002,/wiki/The_Eye_(2002_film),The Eye,2008,/wiki/The_Eye_(2008_film)
Fame,1980,/wiki/Fame_(1980_film),Fame,2009,/wiki/Fame_(2009_film)
The Farmer Takes a Wife,1935,/wiki/The_Farmer_Takes_a_Wife_(1935_film),The Farmer Takes a Wife,1953,/wiki/The_Farmer_Takes_a_Wife_(1953_film)
Father of the Bride,1950,/wiki/Father_of_the_Bride_(1950_film),Father of the Bride,1991,/wiki/Father_of_the_Bride_(1991_film)
Father of the Bride,1950,/wiki/Father_of_the_Bride_(1950_film),Father of the Bride,2022,/wiki/Father_of_the_Bride_(2022_film)
Father's Little Dividend,1951,/wiki/Father%27s_Little_Dividend,Father of the Bride Part II,1995,/wiki/Father_of_the_Bride_Part_II
La Femme Nikita,1990,/wiki/La_Femme_Nikita_(film),Black Cat,1991,/wiki/Black_Cat_(1991_film)
La Femme Nikita,1990,/wiki/La_Femme_Nikita_(film),Point of No Return,1993,/wiki/Point_of_No_Return_(1993_film)
Ferdinand the Bull,1938,/wiki/Ferdinand_the_Bull_(film),Ferdinand,2017,/wiki/Ferdinand_(film)
Fingers,1978,/wiki/Fingers_(1978_film),The Beat That My Heart Skipped,2005,/wiki/The_Beat_That_My_Heart_Skipped
The Firm,1989,/wiki/The_Firm_(1989_film),The Firm,2009,/wiki/The_Firm_(2009_film)
Five Came Back,1939,/wiki/Five_Came_Back,Los que volvieron,1948,/wiki/Los_que_volvieron
Five Came Back,1939,/wiki/Five_Came_Back,Back from Eternity,1956,/wiki/Back_from_Eternity
Flatliners,1990,/wiki/Flatliners,Flatliners,2017,/wiki/Flatliners_(2017_film)
The Flight of the Phoenix,1965,/wiki/The_Flight_of_the_Phoenix_(1965_film),Flight of the Phoenix,2004,/wiki/Flight_of_the_Phoenix_(2004_film)
Flipper,1963,/wiki/Flipper_(1963_film),Flipper,1996,/wiki/Flipper_(1996_film)
The Fly,1958,/wiki/The_Fly_(1958_film),The Fly,1986,/wiki/The_Fly_(1986_film)
The Fog,1980,/wiki/The_Fog,The Fog,2005,/wiki/The_Fog_(2005_film)
Folies Bergère de Paris,1935,/wiki/Folies_Berg%C3%A8re_de_Paris_(1935_film),That Night in Rio,1941,/wiki/That_Night_in_Rio
Folies Bergère de Paris,1935,/wiki/Folies_Berg%C3%A8re_de_Paris_(1935_film),On the Riviera,1951,/wiki/On_the_Riviera
Footloose,1984,/wiki/Footloose_(1984_film),Footloose,2011,/wiki/Footloose_(2011_film)
